"statement_id","provision_id","source_excerpt_max_25_words","modality","modality_strength","addressee_actor","addressee_legal_role","action","governed_object","object_granularity","beneficiary_or_right_holder","purpose","trigger_conditions","cumulative_or_alternative_conditions","exceptions_derogations","required_information","required_form_or_format","required_control","required_evidence","supervisory_or_decision_actor","consequence_or_remedy","cross_instrument_dependency"
"REQ-EHDS-077-001","LAW-EU-2025-0327-A077-P01-S01","provide a description in the form of metadata of the available datasets and their characteristics.","OBLIGATION","MANDATORY","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Health data access body responsible for the publicly available dataset catalogue.","Provide a metadata description of each available dataset and its characteristics through the specified catalogue.","OBJ-DESCRIPTION-0001","One metadata description linked to one available dataset.","ACT-EHDS-HEALTH-DATA-USER; ACT-EHDS-PUBLIC","Make datasets available for secondary use discoverable through a consistent machine-readable catalogue.","An electronic-health dataset is available within the health data access body's Chapter IV catalogue responsibility.","Publicly available catalogue AND standardised catalogue AND machine-readable catalogue AND a metadata description of the dataset and its characteristics.","Dataset scope remains bounded by Articles 50 and 51; the mandatory content of each description is separately recorded in REQ-EHDS-077-006.","Dataset identity, availability and characteristics sufficient to link the catalogue description; mandatory content fields are governed by REQ-EHDS-077-006.","Metadata in a publicly available, standardised, machine-readable dataset catalogue.","Verify catalogue accessibility, standardisation, machine readability, dataset coverage and description linkage.","Resolvable catalogue record, holder-supplied description, publication endpoint and current version evidence.","ACT-EHDS-COMPETENT-AUTHORITY","Potential supervision and national penalties depend on Article 99 and the competent Member State's implementing rules; no specific sanction is inferred here.","LAW-EU-2025-0327-A051-P01-PTA; LAW-EU-2025-0327-A051-P01-PTB; LAW-EU-2025-0327-A051-P01-PTC; LAW-EU-2025-0327-A051-P01-PTD; LAW-EU-2025-0327-A051-P01-PTE; LAW-EU-2025-0327-A051-P01-PTF; LAW-EU-2025-0327-A051-P01-PTG; LAW-EU-2025-0327-A051-P01-PTH; LAW-EU-2025-0327-A051-P01-PTI; LAW-EU-2025-0327-A051-P01-PTJ; LAW-EU-2025-0327-A051-P01-PTK; LAW-EU-2025-0327-A051-P01-PTL; LAW-EU-2025-0327-A051-P01-PTM; LAW-EU-2025-0327-A051-P01-PTN; LAW-EU-2025-0327-A051-P01-PTO; LAW-EU-2025-0327-A051-P01-PTP; LAW-EU-2025-0327-A051-P01-PTQ; LAW-EU-2025-0327-A057-P01-PTJ-SPI; LAW-EU-2025-0327-A060-P03-S01; LAW-EU-2025-0327-A079-P01; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-077-002","LAW-EU-2025-0327-A077-P02-S01","The dataset descriptions in the national dataset catalogue shall be available in at least one official language of the Union.","OBLIGATION","MANDATORY_MINIMUM_LANGUAGE_COVERAGE","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Health data access body operating a national dataset catalogue.","Make each national-catalogue dataset description available in at least one official Union language.","OBJ-CATALOGUE-0001","Each dataset description in one national dataset catalogue.","ACT-EHDS-HEALTH-DATA-USER; ACT-EHDS-PUBLIC","Make national catalogue descriptions linguistically accessible.","A national dataset catalogue contains a dataset description.","National catalogue classification AND each description available in one or more official Union languages.","The all-official-languages rule for the Union-institution catalogue is separately recorded in REQ-EHDS-077-007.","Catalogue type, description identifier, selected official Union language and version.","At least one official Union language per national-catalogue description.","Verify catalogue type, official-language status, description coverage, accessibility and version synchronisation.","Accessible language version, locale identifier and publication record for each description.","ACT-EHDS-COMPETENT-AUTHORITY","Potential supervision and national penalties depend on Article 99 and the competent Member State's implementing rules; no specific sanction is inferred here.","LAW-EU-2025-0327-A057-P01-PTJ-SPI; LAW-EU-2025-0327-A079-P02; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-077-003","LAW-EU-2025-0327-A077-P03","The dataset catalogue shall be made available to single information points established or designated under Article 8 of Regulation (EU) 2022/868.","OBLIGATION","MANDATORY_CROSS_SYSTEM_AVAILABILITY","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Operator responsible for the relevant EHDS dataset catalogue.","Make the dataset catalogue available to the designated single information points.","OBJ-CATALOGUE-0001","Catalogue-level connection or availability arrangement.","ACT-DGA-SINGLE-INFORMATION-POINT","Connect EHDS dataset discoverability with the Data Governance Act information-point framework.","A relevant single information point has been established or designated under Regulation (EU) 2022/868 Article 8.","Identity of the designated point AND availability of the catalogue endpoint or equivalent access arrangement.","No express derogation identified; implementation method is not specified by Article 77(3).","Catalogue endpoint, responsible bodies and connection or access details.","Article 77(3) does not prescribe a specific interface; the catalogue itself remains standardised and machine-readable under Article 77(1).","Designation verification, endpoint availability test and responsibility register.","Designation record, technical endpoint or access agreement, and availability test.","ACT-EHDS-COMPETENT-AUTHORITY","Potential supervision and national penalties depend on Article 99 and the competent Member State's implementing rules; no specific sanction is inferred here.","LAW-EU-2022-0868-A008-P01-S01; LAW-EU-2022-0868-A008-P02-S01; LAW-EU-2022-0868-A008-P02-S02; LAW-EU-2022-0868-A008-P03; LAW-EU-2022-0868-A008-P04; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-077-004","LAW-EU-2025-0327-A077-P04-S01","By 26 March 2027, the Commission shall, by means of implementing acts, set out the minimum elements health data holders are to provide","OBLIGATION","DEADLINE_BOUND_RULEMAKING_DUTY","ACT-EU-COMMISSION","Commission implementing authority under EHDS Article 77(4).","Adopt implementing rules for minimum dataset elements and their characteristics.","OBJ-IMPLEMENTING-ACT-0001","Article 77(4) implementing act and each specified minimum element.","ACT-EHDS-HEALTH-DATA-HOLDER; ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Harmonise the information health data holders supply for dataset descriptions.","The Article 77(4) legislative mandate and deadline govern Commission implementation.","Implementing act AND minimum elements AND characteristics of those elements.","The act's operational application follows Article 105; the deadline to set the rules does not itself activate all Chapter IV holder duties.","Minimum elements health data holders are to provide and the characteristics of each element.","Commission implementing act.","Deadline register, legal-basis check, completeness of minimum-element specification and source-status monitoring.","Adopted and published implementing act with Article 77(4) legal basis.","ACT-EU-COMMISSION","Missed deadline or defective legal basis requires institutional and legal review; no automatic substitute specification is inferred.","LAW-EU-2025-0327-A105-SP05; LAW-EU-2025-0327-A105-SP07; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R115"
"REQ-EHDS-077-005","LAW-EU-2025-0327-A077-P04-S02","Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).","PROCEDURE","MANDATORY_ADOPTION_PROCEDURE","ACT-EU-COMMISSION","Commission implementing authority using the EHDS examination procedure.","Use the Article 98(2) examination procedure when adopting the dataset-element implementing act.","OBJ-IMPLEMENTING-ACT-0001","Adoption procedure for each Article 77(4) implementing act.","NOT_APPLICABLE","Subject the implementing measure to the prescribed Member-State committee control.","The Commission proceeds to adopt an implementing act under Article 77(4).","Article 98(2) incorporation AND Regulation (EU) No 182/2011 Article 5 examination steps.","No alternative adoption procedure is provided in Article 77(4).","Legal basis, committee opinion, voting outcome and adopted act.","Examination procedure under Article 98(2) and Regulation (EU) No 182/2011 Article 5.","Procedure checklist and committee-record verification.","Committee dossier, opinion or voting record, adopted text and publication record.","ACT-EU-COMMISSION","A procedural defect can affect validity and requires qualified legal assessment.","LAW-EU-2025-0327-A098-P02; LAW-EU-2025-0327-R115"
"REQ-EHDS-077-006","LAW-EU-2025-0327-A077-P01-S02","The description of each dataset shall include information concerning the source, scope, main characteristics, and nature of the electronic health data in the dataset","OBLIGATION","MANDATORY_CONTENT_REQUIREMENT","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Health data access body providing the dataset description through the catalogue.","Ensure that each dataset description includes every information category specified in Article 77(1).","OBJ-DESCRIPTION-0001","One metadata description for one dataset, checked across all five required information categories.","ACT-EHDS-HEALTH-DATA-USER; ACT-EHDS-PUBLIC","Enable informed dataset discovery and assessment of relevance and availability conditions.","A dataset description is provided under REQ-EHDS-077-001.","Source AND scope AND main characteristics AND nature of the electronic health data AND conditions for making those data available.","No express omission or alternative-content derogation appears in Article 77(1).","Dataset source; scope; main characteristics; nature of electronic health data; conditions for making the data available.","Structured metadata fields within the catalogue description.","Per-description completeness, provenance, validation and maintenance controls for every required information category.","Catalogue record, field-level metadata, holder-supplied description, provenance and source-status evidence.","ACT-EHDS-COMPETENT-AUTHORITY","An incomplete description fails the Article 77(1) content duty; any sanction depends on Article 99 and applicable national rules.","LAW-EU-2025-0327-A077-P01-S01; LAW-EU-2025-0327-A060-P03-S01; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-077-007","LAW-EU-2025-0327-A077-P02-S02","The dataset catalogue for Union institutions, bodies, offices and agencies provided by the Union health data access service shall be available in all official languages","OBLIGATION","MANDATORY_ALL_LANGUAGE_COVERAGE","ACT-EU-COMMISSION","Commission acting through or responsible for the Union health data access service that provides the Union-institution catalogue.","Make the Union-institution dataset catalogue available in all official Union languages.","OBJ-CATALOGUE-0001","The complete catalogue for Union institutions, bodies, offices and agencies.","ACT-EHDS-HEALTH-DATA-USER; ACT-EHDS-PUBLIC","Provide Union-wide linguistic access to the Union-institution dataset catalogue.","The Union health data access service provides the catalogue for Union institutions, bodies, offices and agencies.","Union-institution catalogue classification AND availability in every official Union language.","The at-least-one-language rule for national descriptions is separately recorded in REQ-EHDS-077-002.","Catalogue identity, authoritative official-language list, translated content and synchronised versions.","The catalogue must be available in all official languages of the Union.","Verify catalogue classification, complete language coverage, accessibility, translation integrity and version synchronisation.","Accessible catalogue versions, locale identifiers, translation records and publication evidence.","ACT-EU-COMMISSION","Missing an official-language version leaves the all-languages availability duty unsatisfied.","LAW-EU-2025-0327-A057-P01-PTJ-SPI; LAW-EU-2025-0327-A079-P02; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-078-001","LAW-EU-2025-0327-A078-P01","Datasets made available through health data access bodies may have a Union data quality and utility label applied by the health data holders.","PERMISSION","VOLUNTARY_UNLESS_PARAGRAPH_2_APPLIES","ACT-EHDS-HEALTH-DATA-HOLDER","Holder of a dataset made available through a health data access body.","Apply a Union data quality and utility label to the dataset.","OBJ-LABEL-0001","One label for one dataset.","ACT-EHDS-HEALTH-DATA-HOLDER; ACT-EHDS-HEALTH-DATA-USER","Provide transparent quality and utility information supporting informed dataset selection.","A dataset is made available through a health data access body and paragraph 2 does not independently make the label mandatory.","Voluntary permission under paragraph 1; mandatory branch under paragraph 2 if public-funding facts are met.","The label does not determine whether a dataset may be made available and does not replace a data permit or request approval.","When used, the label must cover applicable Article 78(3) elements.","Union data quality and utility label; final visual and technical specifications depend on Article 78(6).","Confirm voluntary versus mandatory branch and verify label completeness and supporting documentation.","Holder decision, label, linked dataset and supporting documentation.","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","No adverse inference follows from choosing not to label under paragraph 1 alone; paragraph 2 may separately impose a duty.","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-078-002","LAW-EU-2025-0327-A078-P02","Datasets with electronic health data collected and processed with the support of Union or national public funding shall have a data quality and utility label","OBLIGATION","CONDITIONAL_MANDATORY","ACT-EHDS-HEALTH-DATA-HOLDER","Holder responsible for a publicly supported electronic-health dataset.","Apply a complete data quality and utility label to the dataset.","OBJ-LABEL-0001","One label for each dataset meeting the funding trigger.","ACT-EHDS-HEALTH-DATA-USER","Ensure publicly supported electronic-health datasets disclose comparable quality and utility information.","Electronic health data in the dataset were collected and processed with support of Union or national public funding.","Union OR national public funding; collection and processing support must be established; label covers the applicable paragraph 3 elements.","Where applicable qualifies individual paragraph 3 elements, not the paragraph 2 public-funding trigger itself.","Funding provenance plus every applicable Article 78(3)(a)-(f) element.","Data quality and utility label conforming to applicable Article 78(6) specifications.","Funding-source classification, evidence of support across collection and processing, and label completeness check.","Grant, procurement or funding records; label; supporting documentation supplied under Article 60(4).","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Potential supervision and national penalties depend on Article 99 and the competent Member State's implementing rules; no specific sanction is inferred here.","LAW-EU-2025-0327-A078-P03-PTA; LAW-EU-2025-0327-A078-P03-PTB; LAW-EU-2025-0327-A078-P03-PTC; LAW-EU-2025-0327-A078-P03-PTD; LAW-EU-2025-0327-A078-P03-PTE; LAW-EU-2025-0327-A078-P03-PTF; LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"REQ-EHDS-078-003","LAW-EU-2025-0327-A078-P03-PTA","metadata, support documentation, the data dictionary, the format and standards used, the source of the data and, where applicable, the data model","OBLIGATION","CONDITIONAL_ELEMENT_DUTY","ACT-EHDS-HEALTH-DATA-HOLDER","Holder applying a data quality and utility label.","Include the required data-documentation information in the label.","OBJ-LABEL-0001","Data-documentation component of one dataset label.","ACT-EHDS-HEALTH-DATA-USER","Expose the documentation and semantic context needed to understand and assess a dataset.","A label is applied and the identified documentation element exists or is applicable to the dataset.","Metadata, support documentation, data dictionary, format, standards and source are listed; data model is conditional where applicable.","Where applicable requires a reasoned per-element determination; it is not a blanket omission permission.","Metadata; support documentation; data dictionary; format; standards used; data source; applicable data model.","Article 78 label component linked to supporting documentation under the applicable technical specification.","Element-by-element presence, applicability and traceability check.","Label fields and resolvable supporting documents.","ACT-EHDS-HEALTH-DATA-ACCESS-BODY","Potential supervision and national penalties depend on Article 99 and the competent Member State's implementing rules; no specific sanction is inferred here.","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA; LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
