"provision_id","source_id","article","paragraph","point","heading","stable_pinpoint","cross_references","definitions_required","recitals_required"
"LAW-EU-2025-0327-A077-P01-S01","LAW-EU-2025-0327","77","1","S01","Dataset metadata description through machine-readable catalogue","Article 77(1), sentence 1","LAW-EU-2025-0327-A051-P01-PTA through LAW-EU-2025-0327-A051-P01-PTQ; LAW-EU-2025-0327-A057-P01-PTJ-SPI; LAW-EU-2025-0327-A060-P03-S01; LAW-EU-2025-0327-A079-P01","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A077-P01-S02","LAW-EU-2025-0327","77","1","S02","Mandatory dataset-description content","Article 77(1), sentence 2","LAW-EU-2025-0327-A077-P01-S01; LAW-EU-2025-0327-A060-P03-S01","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A077-P02-S01","LAW-EU-2025-0327","77","2","S01","National-catalogue official-language availability","Article 77(2), sentence 1","LAW-EU-2025-0327-A057-P01-PTJ-SPI; LAW-EU-2025-0327-A079-P02","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A077-P02-S02","LAW-EU-2025-0327","77","2","S02","Union-catalogue all-official-languages availability","Article 77(2), sentence 2","LAW-EU-2025-0327-A057-P01-PTJ-SPI; LAW-EU-2025-0327-A079-P02","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A077-P03","LAW-EU-2025-0327","77","3","","Availability to DGA single information points","Article 77(3)","LAW-EU-2022-0868-A008-P01-S01; LAW-EU-2022-0868-A008-P02-S01; LAW-EU-2022-0868-A008-P02-S02; LAW-EU-2022-0868-A008-P03; LAW-EU-2022-0868-A008-P04","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R084; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A077-P04-S01","LAW-EU-2025-0327","77","4","","Commission implementing-act mandate and deadline","Article 77(4), sentence 1","LAW-EU-2025-0327-A105-SP05; LAW-EU-2025-0327-A105-SP07","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R087; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A077-P04-S02","LAW-EU-2025-0327","77","4","","Examination procedure","Article 77(4), sentence 2","LAW-EU-2025-0327-A098-P02","NONE_IDENTIFIED","LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P01","LAW-EU-2025-0327","78","1","","Voluntary label permission","Article 78(1)","NONE_IDENTIFIED","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P02","LAW-EU-2025-0327","78","2","","Mandatory label for publicly funded data","Article 78(2)","LAW-EU-2025-0327-A078-P03-PTA through LAW-EU-2025-0327-A078-P03-PTF","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P03-PTA","LAW-EU-2025-0327","78","3","a","Data documentation","Article 78(3)(a)","NONE_IDENTIFIED","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
