"standard_element_id","standard_id","version","formal_status","namespace","class_or_property","human_label","normative_definition","domain","range","cardinality","controlled_vocabulary","normative_or_informative","validation_artifact","intended_capability","known_limit","source_pinpoint"
"EL-DCAT-Catalog","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:Catalog","Catalog","A curated collection of metadata about resources such as datasets and data services.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent a machine-readable catalogue containing dataset and service descriptions.","The class does not prescribe sector-specific catalogue obligations cardinalities or metadata truth.","DCAT 3 §6.3 Class: Catalog; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Class:Catalog"
"EL-DCAT-CatalogRecord","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:CatalogRecord","Catalog Record","A record describing the registration of one resource in a catalog.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Separate metadata-record provenance and modification from the described resource.","Does not itself identify the complete legal or editorial history of the described resource.","DCAT 3 §6.5 Class: Catalog Record; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Class:Catalog_Record"
"EL-DCAT-Dataset","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:Dataset","Dataset","A collection of data published or curated by one agent and available for access or download in one or more representations.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify the conceptual dataset governed by catalogue and access requirements.","The class directly represents dataset identity. By itself, it does not establish the dataset's instrument-specific legal classification, protected ground, relevant version boundary, third-party rights, or the facts determining legal applicability. DCAT does not prohibit adding those descriptions, but they require other properties, profiles, evidence, or legal determinations.","DCAT 3 §6.6 Class: Dataset; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Class:Dataset"
"EL-DCAT-Distribution","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:Distribution","Distribution","A specific representation of a dataset that may differ by serialization delivery or other manifestation characteristics.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify an accessible or downloadable representation separately from the conceptual dataset.","A distribution record does not prove availability integrity or authorization.","DCAT 3 §6.8 Class: Distribution; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Class:Distribution"
"EL-DCAT-DataService","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:DataService","Data Service","A collection of operations that provides access to one or more datasets or data-processing functions.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent an API or other operational access service.","Does not natively describe authentication rate limits availability latency or other service-quality commitments.","DCAT 3 §6.9 Class: Data Service; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Class:Data_Service"
"EL-DCAT-Catalog-dataset","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:dataset","dataset","Relates a catalog to a dataset that forms part of it.","dcat:Catalog","dcat:Dataset","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Publish datasets as members of a catalogue.","No minimum catalogue membership cardinality is imposed by DCAT 3.","DCAT 3 §6.3 Property: dataset; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:catalog_dataset"
"EL-DCAT-Dataset-distribution","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:distribution","distribution","Relates a dataset to one of its available distributions.","dcat:Dataset","dcat:Distribution","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Link a conceptual dataset to access or download manifestations.","Does not require that a distribution exist or remain available.","DCAT 3 §6.6 Property: distribution; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:dataset_distribution"
"EL-DCAT-Distribution-accessURL","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:accessURL","access URL","A URL that gives access to a distribution; it may resolve to information on how access is obtained rather than directly to the data.","dcat:Distribution","rdfs:Resource","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent where a distribution can be accessed.","Resolution success authorization and machine-actionable access conditions remain external.","DCAT 3 §6.8 Property: access URL; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:distribution_access_url"
"EL-DCAT-Distribution-downloadURL","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:downloadURL","download URL","A URL that is a direct link to a downloadable file in a given format.","dcat:Distribution","rdfs:Resource","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent a direct machine-download location.","Does not prove file persistence checksum validity access authority or licence.","DCAT 3 §6.8 Property: download URL; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:distribution_download_url"
"EL-DCAT-Distribution-accessService","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:accessService","access service","Relates a distribution to a data service through which it can be accessed.","dcat:Distribution","dcat:DataService","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Connect a distribution to its API or other access service.","Does not describe the access protocol or service-level conditions by itself.","DCAT 3 §6.8 Property: access service; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:distribution_access_service"
